clé	statut	source	note
int_appareils	vérifié (flexion)	INFCOR 28694 · flexion: 3547, 5243	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
app_wifi	vérifié	INFCOR 	
app_micro	vérifié (flexion)	flexion: 31394	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
app_induction	flaggé	— (cf. note)	induzzione — « induction » non attesté INFCOR. Terme technique.
app_frigo	flaggé	— (cf. note)	frigò — « frigò » : forme clipée ; INFCOR donne frigoriferu (id 18182). À confirmer / préférer frigoriferu.
app_tableau	vérifié	INFCOR 15567, 37356, 52167	
cform_note_label	vérifié	INFCOR 30746	
cform_note_hint	vérifié	INFCOR 12508, 31750	
cform_note_ph	vérifié (flexion)	INFCOR 17730, 46551 · flexion: 3522	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cform_privacy	vérifié (flexion)	INFCOR 22508, 30925, 48687 · flexion: 13532, 28308, 34125	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
cform_protocole	vérifié	INFCOR 28694, 32702, 36705, 53289	
btn_save	vérifié	INFCOR 4360	
btn_cancel	vérifié	INFCOR 3272	
geo_title	flaggé	— (cf. note)	pruspettore — « prospecteur » non attesté INFCOR. À confirmer.
geo_badge	vérifié	INFCOR 36705, 48934	
geo_checklist	vérifié	INFCOR 12831, 25918, 28694	
geo_check1	vérifié (flexion)	INFCOR 26263 · flexion: 3522	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
geo_check2	flaggé	— (cf. note)	cliccatu — idem cliccà (participe). Non attesté au sens informatique.
geo_check3	flaggé	— (cf. note)	solu — « seul/uniquement » : INFCOR « solu » id 44849 = sol/semelle (autre sens). Le sens « seul » (sulu) à confirmer.
geo_check4	vérifié	INFCOR 3544, 25408, 47027, 51238	
geo_check5	flaggé	— (cf. note)	calculatu — « calculé » non attesté INFCOR (calculu id 7971 attesté). Participe, à confirmer.
geo_check6	flaggé	— (cf. note)	griglia — « grille » non attesté INFCOR (italianisme griglia). Cf. grada / reta ? || gradiente — « gradient » non attesté INFCOR. || lucale — « local » absent INFCOR. Forme régulière probable, à confirmer.
geo_guide	vérifié (flexion)	INFCOR 20295, 24013 · flexion: 37839	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
geo_export_rapport	vérifié	INFCOR 16611, 37341, 38162	
geo_export_csv	vérifié	INFCOR 12823, 16614	
geo_hint	flaggé	— (cf. note)	cliccate — idem cliccà (impératif). Non attesté au sens informatique. || generà — « générer » non attesté (famille general* présente, pas le verbe). Cf. creà/pruduce.
geo_intl	vérifié (flexion)	INFCOR 24218, 32672, 47027 · flexion: 44452	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
stat_rf	vérifié (flexion)	flexion: 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
stat_mediane	vérifié	INFCOR 27636	
stat_depassement	flaggé	— (cf. note)	supranamentu — « dépassement » non attesté INFCOR. À confirmer (cf. supranà).
stat_10	vérifié (flexion)	flexion: 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
stat_5	vérifié (flexion)	flexion: 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
stat_1	vérifié (flexion)	flexion: 28694	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
interp_titre	vérifié	INFCOR 39077	
interp_activite	vérifié	INFCOR 5242, 19774	
ib_naturel	vérifié	INFCOR 29937, 48913, 54907	
ib_humain	vérifié (flexion)	INFCOR 22903 · flexion: 50798	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
ib_geo	vérifié (flexion)	INFCOR 1052, 19035 · flexion: 47965	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
interp_advice	vérifié	INFCOR 23253	
interp_close_tt	vérifié	INFCOR 707	
footer_brand	vérifié	INFCOR 	
footer_em	flaggé	— (cf. note)	palesà — Attesté (id 32510, palisà/palesà = avouer/divulguer/dévoiler/manifester). Sens « révéler » couvert par « dévoiler », MAIS signature de marque → arbitrage natif (palesà / svelà / rivelà).
footer_suffix	flaggé	— (cf. note)	citatinu — INFCOR id 53963 (citadinu/citatinu) = « citadin » (urbain) → faux-sens possible pour « citoyen » (civique). Cf. citatina/citatine.
footer_app	flaggé	— (cf. note)	applicazione — « application » non attesté INFCOR forme exacte. À confirmer.
footer_mairies	vérifié (flexion)	flexion: 23894, 27910	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
footer_ressources	vérifié (flexion)	flexion: 39699	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
footer_mentions	flaggé	— (cf. note)	cunfidenzialità — « confidentialité » non attesté INFCOR. À confirmer.
footer_transparence	vérifié	INFCOR 49808	
gloss_title	vérifié (flexion)	INFCOR 19790 · flexion: 20295	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
gloss_close_aria	vérifié	INFCOR 707	
gloss_tab_glossaire	vérifié	INFCOR 19790	
gloss_tab_guides	vérifié (flexion)	flexion: 20295, 35825	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
gloss_search_ph	flaggé	— (cf. note)	termine — « terme » (mot) non attesté INFCOR forme exacte. À confirmer.
gloss_search_aria	vérifié	INFCOR 10686, 19790	
